
Veggie Crisps,Vol1,Vol2,Vol3,Vol4,Vol5,Vol6,Vol7,Vol8,Vol9,Vol10,Vol11,Vol12,Vol13,Vol14,Vol15,Vol16
1wk Sept 24 2016,66460,402142,399214,166729,25567,8523,59572,70053,119275,35802,83473,41391,18787,171928,46182,125746,3853
1wk Oct 01 2016,77086,465359,462642,188404,30356,9740,65337,77230,120162,37107,83055,42755,21274,161261,42764,118497,9962
1wk Oct 08 2016,80137,424244,421570,186352,28107,10751,65300,79019,138828,42323,96505,51972,28072,228149,59706,168443,4056
1wk Oct 15 2016,75333,412194,409513,186221,23985,9600,60020,89182,120975,38768,82207,50105,30397,186334,40208,146126,4935
1wk Oct 22 2016,75093,388414,385252,181015,23619,8892,57413,88720,116682,36033,80649,44946,27810,181500,38833,142667,3120
1wk Oct 29 2016,75609,380113,376879,179467,25337,8397,60477,82456,115485,36148,79337,44460,27063,192046,42768,149278,3392
1wk Nov 05 2016,68216,377518,374495,167380,23147,7205,58155,75416,111314,35430,75884,43270,24268,196259,43780,152479,5986
1wk Nov 12 2016,69429,341574,338621,162080,22253,7363,56969,72575,111254,34714,76540,43716,23706,177015,42296,134719,4111
1wk Nov 19 2016,77869,368236,365584,172483,23722,7893,61350,76263,122910,40435,82475,51383,31582,194400,48037,146363,4550
1wk Nov 26 2016,83347,448414,445489,194978,24727,8134,70609,86910,128014,41304,86710,60953,41801,207712,53728,153984,7731
1wk Dec 03 2016,90107,480644,476949,194496,25916,9274,72134,83194,134346,44073,90273,61470,47990,221618,55762,165856,6054
1wk Dec 10 2016,75868,497549,494133,201771,26608,11500,75870,83919,141841,46192,95649,64989,51177,219605,58239,161366,5930
1wk Dec 17 2016,75672,566553,562317,222828,27389,11908,79995,99510,151050,47451,103599,70875,56140,254524,67011,187513,6125
1wk Dec 24 2016,80979,799736,791531,294685,35704,17259,118203,118874,203225,64453,138772,99052,77891,338182,93946,244236,7344
1wk Dec 31 2016,54598,531927,528412,191947,20734,8835,78772,78654,139663,44004,95659,64956,49351,215092,66731,148361,8328
1wk Jan 07 2017,62271,359059,356608,154562,17211,6632,58239,69035,114523,37347,77176,45836,34012,161296,46035,115261,5231
1wk Jan 14 2017,70883,298224,295172,144970,16780,5219,51822,68648,105732,35545,70187,38985,30149,148396,36828,111568,4178
1wk Jan 21 2017,78484,296308,293188,136263,15882,5508,48006,64325,102324,33170,69154,37440,28228,170058,44436,125622,3382
1wk Jan 28 2017,82345,307600,304678,139549,16311,5662,50463,64565,107704,33923,73781,38465,27395,163441,42745,120696,4822
1wk Feb 04 2017,85412,306921,303366,152281,19700,5935,53895,68992,105391,34120,71271,37238,27680,146812,40730,106082,5174
1wk Feb 11 2017,81395,284727,281841,139951,16530,5661,51851,63484,105147,33060,72087,34314,25266,148226,39618,108608,3557
1wk Feb 18 2017,85406,308372,305992,143921,18949,6494,49825,65805,113140,36900,76240,39126,30247,175220,45061,130159,4735
1wk Feb 25 2017,88010,292043,289532,143281,15919,6055,51179,67889,108530,36543,71987,41823,28445,165894,45063,120831,3716
1wk Mar 04 2017,83946,348915,345772,160722,18583,6406,54151,78217,111682,37645,74037,43904,31677,156116,41748,114368,7708
1wk Mar 11 2017,91180,298348,295369,145321,16940,6184,49981,70814,110504,36797,73707,41952,30165,163120,45647,117473,4506
1wk Mar 18 2017,92139,339164,336667,170290,18974,6463,53037,90091,111728,36546,75182,42192,28670,163752,42410,121342,4584
1wk Mar 25 2017,90603,348670,345878,176923,21050,6818,56730,91134,107154,35610,71544,40861,29529,174395,45849,128546,4575
1wk Apr 01 2017,84547,369053,365769,179492,21933,6734,56531,93089,114537,38927,75610,46369,30962,167369,45745,121624,6142
1wk Apr 08 2017,89014,345414,341529,187271,22672,6997,58996,97560,110146,36567,73579,43797,30325,162316,43346,118970,4876
1wk Apr 15 2017,87248,384238,380612,173668,20784,8262,56187,87263,122782,39761,83021,49069,34689,197960,56863,141097,4248
1wk Apr 22 2017,71222,345100,342789,151142,18279,6117,48829,77007,112801,37790,75011,45345,31651,166566,43029,123537,5417
1wk Apr 29 2017,73633,316872,313268,145006,16934,5658,47318,74339,112496,36245,76251,42156,29963,157208,41947,115261,4228
1wk May 06 2017,77513,300775,296997,151988,15999,5754,50141,79302,112311,36565,75746,41108,29632,158349,43239,115110,3491
1wk May 13 2017,80697,315674,312279,153554,16777,5858,51565,78698,114687,37727,76960,44536,30805,169658,47311,122347,3597
1wk May 20 2017,87544,313213,309406,182668,21757,6345,60903,92834,116831,38776,78055,44635,30786,162854,48303,114551,3432
1wk May 27 2017,81630,332504,328370,170222,19929,6223,55519,88012,116110,36239,79871,43966,30809,147725,42428,105297,6009
